subject,missed_nt,missed_tr,total_reward_nt,total_reward_tr,total_reward,avg_rt1_nt,avg_rt2_nt,avg_rt_nt,avg_rt1_tr,avg_rt2_tr,avg_rt_tr,avg_rt1,avg_rt2,avg_rt
66,0,1,89,86,175,0.275748966666667,0.2651669,0.270457933333333,0.22445244966443,0.337473691275168,0.280963070469799,0.250186488294314,0.301199381270903,0.275692934782609
67,0,0,81,67,148,0.395421966666667,0.520535733333333,0.45797885,0.376732033333333,0.4190427,0.397887366666667,0.386077,0.469789216666667,0.427933108333333
68,0,1,80,75,155,0.356966966666667,0.3233359,0.340151433333333,0.3312072,0.448002013422819,0.389409297658863,0.344087083333333,0.385460484949833,0.364739248747913
69,1,1,83,84,167,0.213951566666667,0.186965033557047,0.200503428093645,0.297925570469799,0.438478624161074,0.368202097315436,0.255798143812709,0.31272182885906,0.284212311557789
70,1,0,98,85,183,0.278942166666667,0.519169429530201,0.398654080267558,0.214800766666667,0.3852234,0.300012083333333,0.246871466666667,0.451972424749164,0.349250742904842
71,0,1,89,67,156,0.280832666666667,0.430995333333334,0.355914,0.363339,0.437797516778524,0.400443745819398,0.322085833333333,0.434385050167224,0.378141702838063
72,1,0,88,75,163,0.268423926174497,0.339452046979866,0.303937986577181,0.310013433333333,0.400817866666667,0.35541565,0.289288227424749,0.370237575250836,0.329762901337793
73,0,1,84,67,151,0.311667633333333,0.310680966666667,0.3111743,0.285340134228188,0.290369899328859,0.287855016778524,0.298547909698997,0.300559397993311,0.299553653846154
74,0,0,68,79,147,0.251241833333333,0.4062206,0.328731216666667,0.257614933333333,0.498284433333333,0.377949683333334,0.254428383333333,0.452252516666667,0.35334045
75,3,2,68,78,146,0.378060402684563,0.534367346938776,0.45568581081081,0.292506666666667,0.373189189189189,0.332577181208054,0.335140468227425,0.453505084745763,0.393924242424242
76,1,0,77,78,155,0.2471959,0.334862181208054,0.290882441471572,0.156891766666667,0.2930772,0.224984483333333,0.202043833333333,0.313899816053512,0.257878455759599
77,0,1,82,79,161,0.411161666666667,0.662514666666667,0.536838166666667,0.478580302013423,0.634667147651007,0.556623724832215,0.444758244147158,0.648637474916388,0.546697859531773
78,3,0,84,77,161,0.367577953020134,0.49248880952381,0.429611385135135,0.324831966666667,0.462326333333333,0.39357915,0.34613347826087,0.477255235690236,0.411474354026846
79,0,2,84,92,176,0.288735566666667,0.292518033333333,0.2906268,0.222854026845638,0.297118445945946,0.259861212121212,0.255904966555184,0.294802802013423,0.275321306532663
80,3,2,86,75,161,0.273424026845638,0.255416428571429,0.264481064189189,0.220809566666667,0.277323445945946,0.248876862416107,0.24702881270903,0.26640706779661,0.256652693602694
81,0,2,71,94,165,0.296639033333333,0.388838133333333,0.342738583333333,0.348899966666667,0.424338547297297,0.38636610738255,0.3227695,0.406469211409396,0.364479389632107
82,1,0,75,74,149,0.224192147651007,0.410739362416107,0.317465755033557,0.238421666666667,0.4321916,0.335306633333333,0.231330702341137,0.42150135451505,0.326416028428094
83,1,0,76,64,140,0.479137133333333,0.648133187919463,0.563352558528428,0.363385866666666,0.481827433333333,0.42260665,0.4212615,0.564702207357859,0.492862120200334
84,6,1,73,100,173,0.362574425675676,0.531234791666667,0.445749400684931,0.525631966666667,0.660709597315436,0.592944899665552,0.444650369127516,0.597076928327645,0.520218866328257
